WARNING:ai_engine.claude_client:Anthropic kredi yetersiz — Ollama'ya geçiliyor
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
ERROR:ai_engine.ollama_client:Ollama hatası: [Errno 111] Connection refused
