Date,Close,High,Low,Open,Volume
2024-07-01,812.5,872.5,812.5,865.0,91639
2024-07-02,822.0,824.0,811.5,815.0,50212
2024-07-03,820.5,834.5,809.0,822.0,51768
2024-07-04,827.0,831.0,818.5,820.5,56780
2024-07-05,909.5,909.5,828.0,828.0,342800
2024-07-08,886.5,941.0,882.5,922.0,244465
2024-07-09,859.0,887.5,856.5,887.0,91249
2024-07-10,845.0,861.5,834.5,858.0,82851
2024-07-11,852.5,861.0,845.0,845.0,76037
2024-07-12,856.5,864.5,848.5,853.0,65721
2024-07-16,913.0,942.0,902.5,942.0,328943
2024-07-17,884.0,913.0,880.5,913.0,159142
2024-07-18,880.0,887.5,877.0,884.0,82808
2024-07-19,869.5,880.0,865.0,880.0,55828
2024-07-22,871.0,884.5,858.5,876.5,109815
2024-07-23,867.0,881.0,864.0,871.5,72151
2024-07-24,856.5,870.5,854.5,864.0,74811
2024-07-25,846.5,856.5,842.0,856.5,77142
2024-07-26,837.5,851.5,834.0,846.5,66976
2024-07-29,827.0,842.0,823.5,837.5,65646
2024-07-30,823.5,835.0,822.5,827.0,49090
2024-07-31,810.5,825.0,806.0,823.5,89682
2024-08-01,821.5,832.0,812.5,812.5,62874
2024-08-02,805.0,822.0,798.5,821.5,89262
2024-08-05,744.5,798.5,739.5,798.5,146758
2024-08-06,758.5,788.5,755.5,755.5,104439
2024-08-07,753.0,765.5,744.5,760.0,69030
2024-08-08,758.0,769.0,750.0,753.0,78846
2024-08-09,747.0,770.0,744.0,760.5,48260
2024-08-12,738.5,754.0,733.0,747.5,65935
2024-08-13,732.5,753.5,722.0,738.5,75567
2024-08-14,724.5,746.0,723.0,730.5,74254
2024-08-15,744.5,745.5,714.5,725.0,78995
2024-08-16,739.0,751.0,737.5,744.5,50510
2024-08-19,752.0,754.0,732.0,742.0,60347
2024-08-20,739.0,755.5,738.0,752.0,42112
2024-08-21,740.0,750.0,734.0,739.0,38237
2024-08-22,737.0,752.5,735.0,740.0,53797
2024-08-23,714.0,742.0,712.0,737.5,59551
2024-08-26,689.0,723.0,686.0,715.0,87132
2024-08-27,710.0,743.5,684.0,689.0,219961
2024-08-28,711.5,717.0,706.0,709.5,54442
2024-08-29,727.5,732.0,707.0,712.0,81318
2024-09-02,751.5,770.0,730.5,730.5,109083
2024-09-03,781.5,807.0,751.5,753.0,193242
2024-09-04,749.0,781.0,743.0,778.0,109475
2024-09-05,753.0,767.5,747.0,749.0,83831
2024-09-06,749.5,759.5,746.0,753.0,41929
2024-09-09,779.5,803.0,741.5,741.5,122953
2024-09-10,755.0,790.0,751.5,779.5,113521
2024-09-11,725.0,759.0,725.0,755.0,84443
