Date,Close,High,Low,Open,Volume
2024-07-01,433.0,456.0,431.0,451.0,693120
2024-07-02,427.25,436.75,424.75,433.0,474423
2024-07-03,426.25,431.25,421.75,430.0,532625
2024-07-04,433.25,438.5,425.25,426.25,717167
2024-07-05,439.0,447.75,434.5,439.5,893738
2024-07-08,438.0,449.0,436.0,440.5,655442
2024-07-09,433.25,441.5,430.0,438.25,655535
2024-07-10,420.25,435.5,420.25,434.5,436800
2024-07-11,451.25,462.25,422.0,422.25,2299151
2024-07-12,445.25,455.75,439.5,453.0,962795
2024-07-16,447.75,452.5,442.0,446.5,736081
2024-07-17,448.25,452.0,441.25,448.5,543372
2024-07-18,450.0,455.25,447.25,451.0,725310
2024-07-19,438.75,450.75,437.75,450.75,518377
2024-07-22,452.5,459.5,438.0,439.0,1397016
2024-07-23,460.0,471.0,449.0,453.5,1474779
2024-07-24,457.0,467.75,454.25,461.0,920347
2024-07-25,459.25,483.5,455.75,459.75,1739461
2024-07-26,448.5,463.75,447.0,460.0,660602
2024-07-29,434.0,446.75,434.0,446.75,468847
2024-07-30,431.75,439.5,430.0,434.0,498143
2024-07-31,419.75,436.25,418.0,431.75,643905
2024-08-01,431.25,432.75,423.0,425.0,527098
2024-08-02,417.25,431.0,412.0,427.25,556928
2024-08-05,396.0,407.75,380.0,380.0,580289
2024-08-06,396.5,417.5,391.25,403.75,491333
2024-08-07,401.75,404.75,391.5,398.75,473509
2024-08-08,401.0,404.0,398.0,401.75,410699
2024-08-09,390.0,406.5,390.0,405.0,343960
2024-08-12,375.75,394.5,372.0,386.25,873864
2024-08-13,368.75,379.5,365.0,375.75,806849
2024-08-14,362.25,371.25,362.25,370.25,476744
2024-08-15,373.25,374.5,358.5,363.5,760386
2024-08-16,370.75,379.75,369.25,375.0,646083
2024-08-19,377.5,379.0,365.75,379.0,587417
2024-08-20,372.0,378.75,369.25,377.25,420117
2024-08-21,370.5,378.75,370.25,372.0,453514
2024-08-22,379.75,392.5,371.5,372.0,1638339
2024-08-23,368.25,384.25,366.0,382.5,516672
2024-08-26,352.75,373.0,351.5,369.5,570454
2024-08-27,351.5,356.5,350.0,355.0,523708
2024-08-28,349.0,354.75,348.25,352.0,522015
2024-08-29,378.5,383.75,349.25,350.25,1847278
2024-09-02,416.25,416.25,380.25,380.25,1171017
2024-09-03,457.75,457.75,440.0,457.75,816718
2024-09-04,482.0,503.5,472.5,489.0,4993064
2024-09-05,490.0,513.0,484.75,486.5,2583566
2024-09-06,460.5,494.0,458.25,491.0,1681921
2024-09-09,499.75,499.75,460.0,460.75,936246
2024-09-10,549.5,549.5,521.5,528.0,1842711
2024-09-11,524.0,587.5,515.0,578.0,5809535
2024-09-12,572.0,576.0,535.0,545.0,4658958
2024-09-13,575.0,601.5,554.0,575.0,3708113
2024-09-16,548.5,583.0,547.5,576.0,1859528
2024-09-17,552.0,577.0,549.5,557.0,1411933
2024-09-18,525.0,557.0,522.5,557.0,1341345
2024-09-19,511.0,534.0,509.5,532.0,1816798
2024-09-20,503.0,514.5,497.0,510.0,1448673
2024-09-23,479.0,499.5,476.75,495.25,1417415
2024-09-24,478.75,506.5,473.75,485.0,2508725
2024-09-25,469.0,485.0,468.0,478.0,1233056
2024-09-26,475.75,504.5,469.0,470.0,2575873
2024-09-27,470.0,480.25,468.75,479.5,880219
2024-09-30,473.75,481.5,458.25,469.0,1359133
2024-10-01,444.5,479.0,440.0,479.0,1035893
2024-10-02,428.25,443.5,426.5,442.0,990794
2024-10-03,422.0,436.5,420.25,428.5,1111660
