Date,Close,High,Low,Open,Volume
2024-07-01,342.0,366.0,342.0,366.0,11927
2024-07-02,323.0,325.0,323.0,325.0,21489
2024-07-03,322.75,322.75,318.0,318.0,17970
2024-07-04,299.5,322.75,299.5,322.75,14972
2024-07-05,328.75,328.75,285.0,285.0,30390
2024-07-08,308.0,328.75,301.0,328.75,23207
2024-07-09,295.0,308.0,295.0,308.0,11941
2024-07-10,284.5,288.0,284.5,288.0,19135
2024-07-11,283.0,283.5,283.0,283.5,16581
2024-07-12,311.25,311.25,295.75,295.75,19132
2024-07-16,340.0,342.25,321.0,321.0,22786
2024-07-17,326.5,329.75,326.0,329.75,12789
2024-07-18,333.5,333.5,331.25,331.25,6339
2024-07-19,335.25,348.5,335.25,348.5,6528
2024-07-22,326.25,336.25,326.25,336.25,8045
2024-07-23,314.0,323.0,314.0,323.0,10484
2024-07-24,303.25,310.0,303.25,310.0,11982
2024-07-25,299.75,300.0,299.75,300.0,8945
2024-07-26,313.0,318.75,304.0,318.75,11381
2024-07-29,344.25,344.25,313.0,313.0,38073
2024-07-30,374.75,378.5,344.25,344.25,17966
2024-07-31,346.0,362.0,346.0,362.0,14663
2024-08-01,379.25,380.5,359.0,359.0,23092
2024-08-02,341.5,364.0,341.5,364.0,34794
2024-08-05,307.5,310.5,307.5,310.5,24194
2024-08-06,338.25,338.25,285.0,285.0,126331
2024-08-07,372.0,372.0,350.0,350.0,70654
2024-08-08,347.0,357.75,347.0,357.75,33808
2024-08-09,362.5,362.5,349.5,349.5,10302
2024-08-12,343.25,363.25,343.25,363.25,13294
2024-08-13,328.5,345.0,328.0,345.0,11722
2024-08-14,350.0,350.0,338.75,338.75,12374
2024-08-15,350.25,355.25,350.25,355.25,12688
2024-08-16,333.0,350.0,333.0,350.0,10603
2024-08-19,333.25,333.25,333.0,333.25,12068
2024-08-20,320.0,333.25,314.75,333.25,11056
2024-08-21,311.0,327.5,310.5,310.5,8512
2024-08-22,311.0,324.75,311.0,324.75,7579
2024-08-23,300.0,300.25,300.0,300.25,9358
2024-08-26,290.5,303.25,290.5,303.25,6109
2024-08-27,291.0,291.0,290.5,290.5,8745
2024-08-28,318.5,318.5,300.0,300.0,13370
2024-08-29,320.0,320.0,320.0,320.0,8289
2024-09-02,320.0,320.0,320.0,320.0,11376
2024-09-03,350.0,350.0,320.0,320.0,12097
