Date,Close,High,Low,Open,Volume
2024-07-01,995.0,1074.0,994.5,1074.0,4071
2024-07-02,1011.0,1011.0,995.0,995.0,4125
2024-07-03,941.5,1010.0,941.5,1010.0,5852
2024-07-04,963.0,965.0,939.0,939.0,8203
2024-07-05,964.0,964.0,963.0,963.0,3148
2024-07-08,955.0,964.0,955.0,964.0,4118
2024-07-09,931.0,946.5,931.0,946.5,5718
2024-07-10,850.0,925.0,850.0,925.0,9013
2024-07-11,935.0,935.0,868.0,868.0,10017
2024-07-12,965.0,965.0,936.0,936.0,5541
2024-07-16,990.0,990.0,966.0,966.0,5677
2024-07-17,950.0,990.0,950.0,990.0,4865
2024-07-18,983.5,983.5,944.0,944.0,9139
2024-07-19,1051.0,1051.0,1043.0,1043.0,6441
2024-07-22,1156.0,1156.0,1053.0,1053.0,7691
2024-07-23,1271.0,1271.0,1271.0,1271.0,10462
2024-07-24,1178.0,1339.0,1144.0,1339.0,13694
2024-07-25,1295.0,1295.0,1200.0,1200.0,10881
2024-07-26,1225.0,1333.0,1204.0,1333.0,12989
2024-07-29,1217.0,1235.0,1217.0,1218.0,6920
2024-07-30,1200.0,1202.0,1150.0,1150.0,5272
2024-07-31,1100.0,1135.0,1100.0,1133.0,6520
2024-08-01,1175.0,1180.0,1100.0,1100.0,5216
2024-08-02,1125.0,1140.0,1125.0,1126.0,5213
2024-08-05,1014.0,1050.0,1013.0,1013.0,8101
2024-08-06,1048.0,1050.0,1048.0,1050.0,9119
2024-08-07,1030.0,1044.0,1030.0,1044.0,5403
2024-08-08,1038.0,1042.0,1038.0,1042.0,5457
2024-08-09,1020.0,1020.0,1014.0,1014.0,3830
2024-08-12,1000.0,1020.0,973.5,1020.0,4214
2024-08-13,1000.0,1000.0,999.5,999.5,4716
2024-08-14,970.0,1000.0,970.0,1000.0,2812
2024-08-15,960.0,970.0,960.0,970.0,3847
2024-08-16,1056.0,1056.0,960.0,960.0,9300
2024-08-19,1056.0,1056.0,1025.0,1056.0,5382
2024-08-20,999.0,1056.0,985.0,1056.0,3055
2024-08-21,1000.0,1019.0,999.0,999.0,3848
2024-08-22,999.0,999.0,999.0,999.0,2789
2024-08-23,979.5,997.0,979.5,997.0,3708
2024-08-26,970.0,979.5,970.0,979.5,3851
2024-08-27,960.5,970.0,960.5,970.0,5889
2024-08-28,960.0,960.0,950.5,950.5,4545
2024-08-29,1002.0,1024.0,1000.0,1024.0,4541
2024-09-02,1015.0,1015.0,1005.0,1005.0,4646
2024-09-03,984.0,1015.0,984.0,1015.0,3306
2024-09-04,1020.0,1020.0,925.0,925.0,5537
2024-09-05,963.0,1018.0,960.5,1018.0,3190
2024-09-06,1000.0,1013.0,1000.0,1013.0,2176
2024-09-09,990.0,997.5,980.0,980.0,3370
2024-09-10,978.5,990.0,953.0,990.0,2734
2024-09-11,953.0,971.0,953.0,971.0,3687
2024-09-12,940.0,953.0,940.0,953.0,2645
2024-09-13,955.5,955.5,941.5,941.5,2920
2024-09-16,967.0,971.0,955.5,955.5,3734
2024-09-17,972.0,972.0,967.0,967.0,3306
2024-09-18,947.5,974.0,947.5,974.0,4464
2024-09-19,988.5,1000.0,988.5,1000.0,4005
2024-09-20,946.0,946.0,922.0,922.0,7843
2024-09-23,914.5,915.0,913.0,913.0,6779
2024-09-24,883.0,914.5,867.5,914.5,6092
