Date,Close,High,Low,Open,Volume
2024-07-01,280.0,291.0,280.0,291.0,5139
2024-07-02,280.0,280.0,266.5,280.0,5941
2024-07-03,275.25,280.0,275.0,280.0,3295
2024-07-04,275.5,278.75,275.5,275.5,3375
2024-07-05,274.0,276.25,272.25,276.25,3538
2024-07-08,280.0,280.0,274.0,274.0,5716
2024-07-09,295.0,295.0,285.0,285.0,5727
2024-07-10,297.5,300.0,297.5,300.0,5782
2024-07-11,297.5,297.5,292.25,297.5,9737
2024-07-12,312.0,312.0,297.5,297.5,11009
2024-07-16,318.0,330.0,315.25,330.0,28200
2024-07-17,305.0,315.0,303.5,315.0,7025
2024-07-18,300.0,305.0,300.0,305.0,6442
2024-07-19,307.0,310.0,305.0,305.0,4935
2024-07-22,307.0,309.0,307.0,309.0,5438
2024-07-23,299.75,307.0,299.75,307.0,4194
2024-07-24,299.75,300.0,299.75,300.0,11065
2024-07-25,300.0,300.0,300.0,300.0,11295
2024-07-26,311.75,312.0,302.0,302.0,5458
2024-07-29,300.25,311.0,300.0,311.0,7715
2024-07-30,295.5,300.5,295.5,300.5,6226
2024-07-31,300.0,300.0,299.75,300.0,8798
2024-08-01,295.0,300.0,295.0,300.0,7529
2024-08-02,299.75,299.75,295.5,295.5,6788
2024-08-05,295.0,300.0,295.0,300.0,9942
2024-08-06,305.0,305.0,295.5,295.5,9873
2024-08-07,301.0,301.0,300.0,300.0,10118
2024-08-08,305.0,305.0,305.0,305.0,13143
2024-08-09,301.5,301.5,301.5,301.5,10346
2024-08-12,296.5,300.0,296.5,300.0,7788
2024-08-13,300.0,300.0,299.0,299.0,11388
2024-08-14,300.0,300.0,300.0,300.0,4974
2024-08-15,302.5,305.0,302.5,305.0,4922
2024-08-16,300.0,302.0,299.5,302.0,5107
2024-08-19,305.0,305.25,305.0,305.25,7676
2024-08-20,305.0,305.0,305.0,305.0,6667
2024-08-21,297.0,300.0,297.0,300.0,9358
2024-08-22,296.0,296.0,286.5,296.0,9266
2024-08-23,295.0,296.0,294.75,296.0,6779
2024-08-26,300.0,300.0,295.0,295.0,21704
2024-08-27,300.0,300.0,300.0,300.0,21108
2024-08-28,300.0,301.5,300.0,300.0,8895
2024-08-29,300.0,300.0,300.0,300.0,23434
2024-09-02,300.0,300.0,300.0,300.0,11830
2024-09-03,298.0,298.0,297.75,298.0,5168
2024-09-04,297.5,300.0,297.5,300.0,7262
2024-09-05,295.0,298.0,295.0,298.0,4873
2024-09-06,297.0,297.0,295.0,295.0,2331
2024-09-09,300.0,302.0,300.0,302.0,9172
2024-09-10,302.0,302.0,300.0,300.0,7311
2024-09-11,300.0,302.0,300.0,302.0,11344
2024-09-12,302.0,302.0,300.0,302.0,8938
2024-09-13,319.25,319.25,302.0,302.0,6102
2024-09-16,338.0,338.0,315.0,315.0,20333
2024-09-17,371.75,371.75,371.5,371.5,33226
2024-09-18,369.5,395.0,369.5,395.0,31639
2024-09-19,360.0,368.0,359.75,368.0,7267
2024-09-20,349.0,358.25,348.0,358.25,7562
2024-09-23,346.0,347.0,345.25,347.0,11233
2024-09-24,348.0,348.0,346.0,346.0,7470
2024-09-25,346.5,357.0,346.5,351.25,6486
2024-09-26,375.0,375.0,337.75,337.75,8062
2024-09-27,399.0,400.0,375.0,375.0,13286
2024-09-30,384.75,399.0,384.75,399.0,10735
2024-10-01,354.5,382.5,354.5,382.5,6059
2024-10-02,354.0,354.5,340.0,354.5,6705
2024-10-03,364.0,365.0,354.5,354.5,6300
2024-10-04,375.0,375.0,364.0,364.0,5928
2024-10-07,385.0,385.25,380.0,380.0,7198
2024-10-08,370.0,384.75,370.0,384.75,5890
2024-10-09,368.25,369.5,367.5,369.5,15118
2024-10-10,405.0,405.0,368.25,368.25,12942
2024-10-11,389.75,402.25,389.75,402.25,6269
2024-10-14,379.5,389.75,375.0,389.75,6685
2024-10-15,383.0,383.0,383.0,383.0,6960
2024-10-16,378.25,383.0,378.25,383.0,4710
2024-10-17,392.0,392.0,388.75,388.75,3261
2024-10-18,407.0,407.0,405.0,405.0,20521
2024-10-21,426.0,426.5,425.0,425.0,16481
2024-10-22,410.25,410.25,405.0,410.0,12753
2024-10-23,424.0,427.25,420.0,427.25,13009
2024-10-24,448.0,448.0,432.0,432.0,18830
2024-10-25,420.0,450.0,420.0,450.0,14374
2024-10-28,430.0,430.0,420.0,420.0,1921
2024-10-30,430.0,448.0,430.0,448.0,25141
2024-10-31,440.0,440.0,440.0,440.0,6916
2024-11-01,434.25,440.0,434.25,440.0,7287
2024-11-04,438.0,445.5,438.0,445.5,8628
