Date,Close,High,Low,Open,Volume
2024-07-01,8000.0,8495.0,8000.0,8407.5,7104
2024-07-02,8000.0,8317.5,7760.0,8002.5,8138
2024-07-03,8007.5,8250.0,7897.5,8000.0,5938
2024-07-04,7950.0,8090.0,7912.5,8030.0,5352
2024-07-05,8230.0,8572.5,7920.0,7955.0,12662
2024-07-08,9052.5,9052.5,8150.0,8237.5,12417
2024-07-09,9957.5,9957.5,9240.0,9240.0,7419
2024-07-10,8962.5,10952.5,8962.5,10400.0,48026
2024-07-11,8902.5,9300.0,8500.0,8790.0,26306
2024-07-12,8652.5,9150.0,8507.5,8947.5,12904
2024-07-16,8625.0,8995.0,8600.0,8660.0,10225
2024-07-17,8535.0,8720.0,8400.0,8625.0,9401
2024-07-18,8542.5,8660.0,8475.0,8550.0,8330
2024-07-19,8440.0,8590.0,8382.5,8542.5,7055
2024-07-22,8440.0,8650.0,8365.0,8477.5,9362
2024-07-23,8285.0,8712.5,8260.0,8485.0,10886
2024-07-24,8200.0,8335.0,8100.0,8290.0,8849
2024-07-25,8110.0,8302.5,8097.5,8202.5,6071
2024-07-26,8255.0,8265.0,8035.0,8110.0,6485
2024-07-29,8130.0,8370.0,8037.5,8280.0,7089
2024-07-30,8312.5,8570.0,8100.0,8180.0,10428
2024-07-31,8020.0,8350.0,8015.0,8320.0,6544
2024-08-01,8107.5,8155.0,8000.0,8025.0,5987
2024-08-02,7932.5,8152.5,7860.0,8090.0,6641
2024-08-05,7402.5,7630.0,7200.0,7630.0,5834
2024-08-06,7610.0,7900.0,7505.0,7900.0,5612
2024-08-07,7595.0,7730.0,7402.5,7620.0,4486
2024-08-08,7492.5,7620.0,7422.5,7600.0,3707
2024-08-09,7317.5,7585.0,7290.0,7492.5,4583
2024-08-12,7317.5,7747.5,7280.0,7325.0,6886
2024-08-13,7427.5,7647.5,7252.5,7315.0,7403
2024-08-14,7300.0,7650.0,7250.0,7427.5,4440
2024-08-15,7330.0,7352.5,7080.0,7270.0,4592
2024-08-16,7170.0,7365.0,7170.0,7330.0,3325
2024-08-19,7205.0,7250.0,7105.0,7175.0,4008
2024-08-20,7097.5,7205.0,7062.5,7205.0,3429
2024-08-21,6977.5,7235.0,6952.5,7097.5,4606
2024-08-22,7037.5,7110.0,6960.0,6960.0,3352
2024-08-23,6950.0,7117.5,6870.0,7095.0,4725
2024-08-26,6767.5,7002.5,6742.5,6970.0,2768
2024-08-27,7055.0,7442.5,6735.0,6767.5,14560
2024-08-28,7760.0,7760.0,6990.0,7075.0,12613
2024-08-29,7845.0,8535.0,7752.5,8532.5,31215
2024-09-02,8055.0,8247.5,7800.0,7845.0,10593
2024-09-03,7655.0,8270.0,7652.5,8270.0,9241
2024-09-04,7460.0,7655.0,7390.0,7595.0,5783
2024-09-05,7430.0,7550.0,7345.0,7460.0,4713
2024-09-06,7500.0,7975.0,7320.0,7392.5,9617
2024-09-09,7435.0,7605.0,7397.5,7517.5,3698
2024-09-10,7350.0,7585.0,7322.5,7497.5,4269
2024-09-11,7070.0,7370.0,6995.0,7360.0,2935
2024-09-12,7077.5,7180.0,6930.0,7070.0,3235
2024-09-13,7305.0,7367.5,7025.0,7077.5,4215
2024-09-16,7197.5,7470.0,7150.0,7470.0,3244
2024-09-17,7122.5,7247.5,7090.0,7200.0,1860
2024-09-18,6920.0,7072.5,6857.5,6917.5,5114
2024-09-19,7032.5,7062.5,6892.5,6947.5,3280
2024-09-20,7050.0,7097.5,6917.5,7000.0,3151
2024-09-23,6945.0,7150.0,6935.0,7050.0,3337
2024-09-24,6847.5,7015.0,6712.5,7015.0,3676
2024-09-25,6800.0,6932.5,6715.0,6907.5,3225
2024-09-26,6660.0,6910.0,6635.0,6805.0,3731
2024-09-27,6745.0,6935.0,6662.5,6750.0,4486
2024-09-30,6677.5,6897.5,6655.0,6775.0,3141
2024-10-01,6317.5,6707.5,6310.0,6650.0,3825
2024-10-02,6500.0,6850.0,6110.0,6317.5,8632
2024-10-03,6557.5,7100.0,6370.0,6425.0,8928
2024-10-04,6607.5,6722.5,6377.5,6557.5,4680
2024-10-07,6450.0,6725.0,6435.0,6700.0,3182
2024-10-08,6390.0,6550.0,6350.0,6455.0,3613
2024-10-09,6365.0,6480.0,6220.0,6480.0,4072
2024-10-10,6420.0,6495.0,6315.0,6397.5,3209
2024-10-11,6200.0,6415.0,6110.0,6302.5,3226
2024-10-14,5942.5,6200.0,5875.0,6200.0,3708
2024-10-15,6345.0,6535.0,5942.5,5942.5,14328
2024-10-16,6175.0,6442.5,6030.0,6345.0,9085
2024-10-17,6220.0,6285.0,6092.5,6175.0,4852
2024-10-18,6187.5,6570.0,6165.0,6272.5,8489
2024-10-21,6045.0,6347.5,6030.0,6187.5,5079
2024-10-22,6220.0,6270.0,5957.5,6045.0,5346
2024-10-23,6080.0,6255.0,6070.0,6250.0,3993
2024-10-24,6300.0,6300.0,6102.5,6102.5,3702
2024-10-25,6282.5,6370.0,6207.5,6300.0,2014
2024-10-28,6430.0,6675.0,6282.5,6282.5,3797
2024-10-30,6397.5,6500.0,6315.0,6430.0,4106
2024-10-31,6507.5,6507.5,6260.0,6397.5,2219
2024-11-01,6372.5,6462.5,6307.5,6307.5,2414
2024-11-04,6152.5,6400.0,6150.0,6372.5,3258
2024-11-05,6142.5,6205.0,6102.5,6197.5,1902
2024-11-06,6170.0,6300.0,6142.5,6142.5,2237
2024-11-07,6142.5,6242.5,6055.0,6242.5,2524
2024-11-08,6297.5,6330.0,6110.0,6152.5,3321
2024-11-11,6372.5,6402.5,6132.5,6300.0,2830
2024-11-12,6132.5,6372.5,6110.0,6372.5,2960
2024-11-13,6087.5,6160.0,6050.0,6132.5,2241
2024-11-14,6157.5,6247.5,6085.0,6152.5,2195
2024-11-15,6252.5,6290.0,6157.5,6160.0,2374
2024-11-18,6442.5,6627.5,6252.5,6252.5,9557
2024-11-19,6345.0,6595.0,6260.0,6462.5,3918
2024-11-20,6335.0,6600.0,6297.5,6372.5,4747
2024-11-21,6452.5,6540.0,6262.5,6335.0,3158
2024-11-22,6525.0,6552.5,6360.0,6480.0,3123
