Date,Close,High,Low,Open,Volume
2024-07-01,366.75,400.0,366.75,398.0,660187
2024-07-02,330.25,349.0,330.25,347.0,1225044
2024-07-03,363.25,363.25,310.0,312.5,1143899
2024-07-04,399.5,399.5,370.0,370.0,1111049
2024-07-05,391.25,432.25,388.0,406.25,1842456
2024-07-08,389.0,410.0,381.0,391.25,599070
2024-07-09,398.0,404.25,384.5,390.0,528860
2024-07-10,406.0,414.0,392.5,398.0,454480
2024-07-11,406.0,414.75,402.75,406.0,215503
2024-07-12,413.75,432.0,407.0,410.5,473195
2024-07-16,430.5,432.75,413.75,413.75,373611
2024-07-17,430.5,436.75,418.25,430.5,295993
2024-07-18,437.25,440.75,425.75,430.5,244073
2024-07-19,435.75,440.0,429.0,437.25,140314
2024-07-22,455.75,463.0,431.0,435.75,247063
2024-07-23,456.0,465.0,449.0,452.5,200220
2024-07-24,473.0,474.0,446.0,455.0,304803
2024-07-25,464.0,480.0,461.25,474.0,153337
2024-07-26,470.0,475.0,463.75,465.0,139369
2024-07-29,465.5,469.75,462.0,469.75,69336
2024-07-30,473.5,479.0,464.0,465.5,97924
2024-07-31,500.5,500.5,468.0,471.5,317362
2024-08-01,510.5,516.5,488.0,504.0,282468
2024-08-02,511.5,515.5,497.25,498.0,131920
2024-08-05,499.75,505.0,474.0,499.75,289311
2024-08-06,503.0,505.0,492.5,500.5,189488
2024-08-07,510.0,510.0,484.0,503.0,211574
2024-08-08,510.0,520.0,502.5,509.0,81520
2024-08-09,499.0,515.5,494.25,510.0,88622
2024-08-12,505.0,511.0,493.0,498.0,153042
2024-08-13,498.0,510.5,492.5,505.0,155293
2024-08-14,499.0,504.0,496.75,498.0,67392
2024-08-15,502.5,509.5,494.0,499.0,114254
2024-08-16,505.0,510.0,500.5,502.5,69533
2024-08-19,515.0,517.0,498.0,498.0,114035
2024-08-20,517.0,522.0,511.0,515.0,104111
2024-08-21,515.0,525.0,514.5,517.0,87190
2024-08-22,539.5,550.0,512.0,515.0,309816
2024-08-23,519.5,549.5,514.0,539.5,283592
2024-08-26,500.0,535.0,495.5,519.5,263123
2024-08-27,502.0,510.0,491.75,500.0,114275
2024-08-28,501.5,510.0,497.0,502.5,82923
2024-08-29,506.0,511.0,499.25,501.5,125069
2024-09-02,504.5,510.0,495.75,506.0,110203
2024-09-03,505.5,515.0,503.5,507.0,88991
2024-09-04,502.5,511.0,498.75,505.5,68848
2024-09-05,514.0,517.0,497.75,502.0,202351
2024-09-06,507.0,514.0,503.0,514.0,94479
2024-09-09,456.0,506.5,456.0,506.5,257355
2024-09-10,410.5,428.25,410.5,419.25,97006
2024-09-11,372.5,434.5,369.5,382.5,970977
2024-09-12,372.0,381.0,358.5,373.0,409922
2024-09-13,402.0,405.0,372.0,381.5,495907
2024-09-16,403.0,418.0,392.5,403.0,223814
2024-09-17,412.25,420.75,401.0,403.25,182587
2024-09-18,402.5,415.0,400.75,414.25,126952
2024-09-19,417.0,417.0,402.25,410.0,177150
2024-09-20,422.0,424.0,406.0,416.25,131536
2024-09-23,431.75,439.5,415.0,426.25,207382
2024-09-24,450.0,452.25,429.0,431.75,187839
2024-09-25,456.25,456.75,441.25,449.0,165289
2024-09-26,456.25,466.75,450.25,456.25,114181
2024-09-27,457.5,460.0,448.0,456.25,165156
2024-09-30,458.0,464.75,413.0,457.5,423366
2024-10-01,432.0,469.0,422.25,457.5,291748
2024-10-02,411.25,432.0,411.0,432.0,194492
2024-10-03,413.5,416.5,400.25,410.0,155960
2024-10-04,428.5,431.75,402.75,420.0,156825
2024-10-07,422.25,435.0,408.75,435.0,102577
2024-10-08,409.0,419.0,402.5,419.0,129962
2024-10-09,419.0,435.0,393.75,414.0,464759
2024-10-10,429.75,432.5,415.25,415.25,110162
2024-10-11,425.25,442.75,417.0,431.0,198767
2024-10-14,409.0,423.5,404.0,423.5,67053
2024-10-15,404.5,423.25,400.5,406.0,78695
2024-10-16,412.0,412.0,403.0,404.5,64712
2024-10-17,406.0,420.0,403.0,411.25,100687
2024-10-18,392.25,408.25,392.25,406.0,63878
2024-10-21,388.0,393.5,378.0,392.0,87805
2024-10-22,400.0,400.0,382.0,388.0,51965
2024-10-23,385.75,399.75,381.0,399.0,46700
2024-10-24,390.0,394.0,386.0,386.0,42118
