Date,Close,High,Low,Open,Volume
2024-07-01,256.5,262.25,254.0,260.0,2049108
2024-07-02,258.5,261.75,253.0,256.5,1888617
2024-07-03,257.0,261.0,253.0,259.5,2010913
2024-07-04,261.0,261.0,253.25,258.0,2646685
2024-07-05,257.0,262.75,256.25,261.0,1751322
2024-07-08,259.0,260.0,253.25,258.75,2565716
2024-07-09,269.0,273.5,258.75,259.0,4163098
2024-07-10,275.75,280.0,268.75,269.0,3274243
2024-07-11,273.0,279.25,270.75,276.0,2733382
2024-07-12,280.0,280.25,273.0,273.75,3017805
2024-07-16,287.25,290.0,282.0,282.0,2694698
2024-07-17,290.75,291.5,286.0,288.5,1955295
2024-07-18,283.75,294.75,282.25,292.5,2654504
2024-07-19,284.75,286.25,279.75,283.75,1577873
2024-07-22,279.25,287.0,275.0,286.0,3913475
2024-07-23,270.0,284.5,268.0,282.0,3923882
2024-07-24,265.0,272.0,265.0,270.5,2704134
2024-07-25,274.75,275.0,260.25,265.5,7921563
2024-07-26,275.0,278.5,273.25,276.0,2849839
2024-07-29,269.25,274.75,266.25,273.75,3205913
2024-07-30,267.75,271.0,266.25,268.5,1891556
2024-07-31,258.75,266.25,258.75,266.0,2540144
2024-08-01,269.25,271.0,261.0,261.0,2078371
2024-08-02,263.5,267.5,262.5,266.75,1532377
2024-08-05,247.8000030517578,252.5,237.5,237.5,2729908
2024-08-06,247.6999969482422,260.0,247.10000610351562,257.0,2045469
2024-08-07,249.3000030517578,254.5,247.6999969482422,249.6999969482422,2585683
2024-08-08,243.1999969482422,249.89999389648438,243.10000610351562,248.5,2533625
2024-08-09,243.6999969482422,247.60000610351562,241.8000030517578,246.39999389648438,2039340
2024-08-12,240.39999389648438,247.5,240.10000610351562,245.0,1877135
2024-08-13,239.39999389648438,240.6999969482422,231.5,240.0,2751059
2024-08-14,240.89999389648438,244.3000030517578,239.3000030517578,240.0,1563731
2024-08-15,243.1999969482422,243.39999389648438,235.10000610351562,241.0,2086533
2024-08-16,236.6999969482422,247.39999389648438,236.6999969482422,245.5,2105365
2024-08-19,241.89999389648438,242.0,234.10000610351562,236.6999969482422,1769296
2024-08-20,241.8000030517578,243.8000030517578,239.3000030517578,241.8000030517578,1530748
2024-08-21,241.5,245.5,240.10000610351562,241.60000610351562,1586142
2024-08-22,241.0,244.1999969482422,240.1999969482422,242.39999389648438,1093324
2024-08-23,235.5,241.89999389648438,234.39999389648438,240.89999389648438,1199355
2024-08-26,234.60000610351562,238.0,233.0,235.5,1226998
2024-08-27,238.39999389648438,238.39999389648438,231.89999389648438,233.89999389648438,1631257
2024-08-28,242.5,244.6999969482422,238.3000030517578,238.5,1883814
2024-08-29,249.89999389648438,249.89999389648438,241.6999969482422,242.1999969482422,2746828
2024-09-02,257.25,257.75,250.75,251.0,2091649
2024-09-03,257.25,259.5,255.25,258.0,1522012
2024-09-04,258.0,260.0,252.75,255.25,2883650
2024-09-05,261.75,263.5,257.75,258.25,2046458
2024-09-06,261.0,264.25,260.5,262.25,1306320
2024-09-09,265.0,265.75,259.75,260.75,1901855
2024-09-10,266.5,270.0,265.5,265.5,2387129
2024-09-11,262.25,268.0,261.25,266.25,2499651
2024-09-12,263.25,266.5,261.5,263.5,2921345
2024-09-13,256.25,264.0,251.25,263.5,2420745
2024-09-16,253.5,257.75,253.5,256.25,1172330
2024-09-17,255.75,257.75,251.5,253.5,1655354
2024-09-18,255.75,259.0,253.25,255.25,1355543
2024-09-19,259.25,260.0,256.0,257.5,1695883
2024-09-20,256.75,260.5,255.5,259.75,1511093
2024-09-23,253.75,258.25,252.75,257.0,1129882
