Date,Close,High,Low,Open,Volume
2024-07-01,291.7265930175781,298.9698046592817,283.73408361983627,298.9698046592817,226332
2024-07-02,301.2176818847656,302.71627731702813,290.2279820481738,291.4768115750593,103635
2024-07-03,295.9726257324219,304.71443324350605,294.22426423020505,299.2195828079674,77393
2024-07-04,290.2279968261719,297.47120845092144,288.4796353995082,295.4730811061629,82519
2024-07-05,292.47589111328125,295.9726139788542,284.7331476252269,290.2279978425558,82484
2024-07-08,299.9688720703125,302.71629721000727,288.97917151153337,288.97917151153337,102446
2024-07-09,297.221435546875,304.9641788258272,293.72471277573527,299.9688605813419,90092
2024-07-10,302.4665222167969,305.96324501699104,292.9754174734127,295.7228425307081,112736
2024-07-11,300.7181701660156,307.2120841397003,297.97074502330287,302.4665316204692,73791
2024-07-12,289.9782409667969,303.4656010117642,289.72847504003823,300.71817581741897,86090
2024-07-16,295.9726257324219,298.9698168790793,288.22988193689014,290.2280093679951,115460
2024-07-17,300.7181701660156,302.2167656984044,293.97449027026613,295.9726176467845,92926
2024-07-18,301.46746826171875,302.46653195106995,296.72191573730066,300.71817049470536,87576
2024-07-19,302.7162780761719,305.4637030422097,299.2195553921237,303.71534170018566,93136
2024-07-22,303.7153625488281,308.7106810118023,296.971682623813,301.4674692404898,115449
2024-07-23,310.95855712890625,311.20832303824676,303.4655798486917,307.9613662168204,148074
2024-07-24,312.7069396972656,317.70225822278104,307.21208931919864,311.70787599216254,172413
2024-07-25,314.7050476074219,315.70411125062003,308.7106657482329,312.70692032102556,92548
2024-07-26,315.7041320800781,317.45249357102796,313.45623873457123,313.45623873457123,62483
2024-07-29,309.4599609375,324.1961495535714,308.21113139376513,315.7041086561743,179873
2024-07-30,319.2008361816406,322.94732486921856,309.45996559393797,315.2045815815575,116818
2024-07-31,309.9595031738281,319.2008421081002,308.2111417538307,319.2008421081002,208970
2024-08-01,315.9538879394531,315.9538879394531,307.46184668258246,311.20833547237834,84688
2024-08-02,315.7041320800781,318.20179135286355,310.9585794617858,315.20460022552106,67121
2024-08-05,294.9735412597656,309.21019820456377,289.7284571222084,305.7134754461923,166419
2024-08-06,292.22613525390625,303.965133849576,290.97730561606903,297.72098566038994,87685
2024-08-07,295.72283935546875,298.7200302948823,290.47775521149504,292.975414327673,78244
2024-08-08,300.7181701660156,300.9679360880804,292.4758947378773,293.97449027026613,75341
2024-08-09,296.9716796875,306.2130187526283,296.9716796875,300.46840257700796,139067
2024-08-12,295.22332763671875,300.4684121378787,294.47402985083875,297.47122099435876,47895
2024-08-13,297.7209777832031,298.2205096251213,291.2270638382675,295.2233185736125,80477
2024-08-14,300.9679260253906,301.21769193910467,295.47307592368225,297.7209691471084,79146
2024-08-15,306.9623107910156,307.46184262305957,297.4712059821803,300.96792880648803,91457
2024-08-16,312.7069396972656,315.7041308125749,307.21208931919864,308.7106848768533,127859
2024-08-19,309.210205078125,316.4534166671925,309.210205078125,314.70505524914176,76835
2024-08-20,308.7106628417969,309.7097264755891,304.46464239817993,309.7097264755891,69539
2024-08-21,298.72003173828125,310.70879555386443,296.9716703485087,308.71066825126724,123089
2024-08-22,303.7153625488281,307.46185139605876,295.9726189312182,295.9726189312182,50164
2024-08-23,301.2176818847656,306.46276589768445,300.21861826325727,305.7134681815532,47179
2024-08-26,310.45904541015625,311.2083431866892,301.7172380172717,301.7172380172717,189085
2024-08-27,318.7013244628906,318.7013244628906,307.9613895476051,308.96045326065496,217795
2024-08-28,341.6797790527344,350.42158626534086,318.70131437959725,318.70131437959725,467540
2024-08-29,353.6685485839844,353.6685485839844,330.9398494871323,341.67978422520525,206237
2024-09-02,358.1643371582031,358.91363493468475,350.67135939338715,353.66855049931354,196202
2024-09-03,362.6601257324219,363.1596575860478,359.41316868385337,359.41316868385337,112600
2024-09-04,371.40191650390625,371.40191650390625,354.66760015840407,361.16151396412135,98896
2024-09-05,352.6694641113281,408.36726191361294,352.16993229247356,368.65448231467445,209393
2024-09-06,341.4300231933594,358.91363813376546,337.93330020527816,353.91831957936375,122310
2024-09-09,332.6882019042969,344.177434102193,331.18960640022345,340.68071125935506,140717
2024-09-10,323.9463806152344,345.4262485665915,323.197082896001,332.6881873396239,150490
2024-09-11,313.70599365234375,325.44499182245534,312.2073981412657,323.94639631137727,184660
2024-09-12,300.7181701660156,316.45342325609784,299.21957463362685,314.70506180164426,203932
2024-09-13,312.7069396972656,316.20366266512644,298.2205159732709,300.7181752360286,159407
2024-09-16,303.9651184082031,318.45154147120707,303.9651184082031,318.45154147120707,125554
2024-09-17,304.96417236328125,310.70878822270424,301.7172155731726,304.7144064563498,99538
2024-09-18,305.9632568359375,314.45529825015944,300.7181724330357,309.70974569515306,203168
2024-09-19,310.70880126953125,310.9585671869505,305.96324883856573,306.213014755985,133258
2024-09-20,304.71441650390625,313.70598944992315,304.71441650390625,310.7087984679175,126248
2024-09-23,302.4665222167969,309.2102019028857,302.4665222167969,307.71160641708815,62292
2024-09-24,301.46746826171875,306.21302078613684,300.46840457236755,302.7162978734077,65032
2024-09-25,305.7134704589844,305.7134704589844,300.96791822146747,302.21674775765615,45537
2024-09-26,304.71441650390625,307.2120756555776,300.7181618612321,303.21582101290346,56160
2024-09-27,309.9595031738281,313.95575784810796,303.21582341098093,306.7125462509758,166201
2024-09-30,309.4599609375,313.7059813861985,305.46370639754844,309.4599609375,91418
2024-10-01,302.966064453125,313.2064672911944,299.71910745568834,308.71068067935903,259294
2024-10-02,299.7191162109375,305.2139666748047,298.4702865600586,303.4656051635742,55624
2024-10-03,293.2251892089844,303.71535781782364,290.2279981778874,299.7191031096944,65996
2024-10-04,297.7209777832031,297.7209777832031,289.7284683125131,292.72565936402185,32532
2024-10-07,289.9782409667969,299.21958025686706,289.9782409667969,297.72098469631516,49172
2024-10-08,292.22613525390625,298.2205175155248,289.22894412309694,298.2205175155248,30415
2024-10-09,290.7275390625,294.7237938949742,289.72847535438143,292.22613462467785,30462
2024-10-10,299.4693298339844,299.4693298339844,289.7284592222034,290.72752287469376,39661
2024-10-11,290.7275390625,300.4684102166559,290.7275390625,297.7209850193299,28450
2024-10-14,281.4861755371094,289.97821632527416,280.9866437260409,289.97821632527416,50203
2024-10-15,286.73126220703125,286.9810281148771,280.73688041873095,281.9857099579602,25057
2024-10-16,290.7275390625,295.7228576030928,284.9829227408183,286.48151830299616,31323
2024-10-17,291.7265930175781,298.47027282192283,286.7312746439894,291.7265930175781,50422
2024-10-18,292.72564697265625,299.2195606426981,288.2298605857042,291.7265833311113,35564
2024-10-21,284.733154296875,292.7256638911732,284.733154296875,291.72660019188595,41716
